zeta,wn,sigma,dominant_real_part,stability_margin_d,settling_time_approx_2pct,impulse_peak,shadow_mass_l1,shadow_mass_l2,shadow_horizon_eps_0_1,shadow_horizon_eps_0_05,shadow_horizon_eps_0_02,slow_band_deficit_0_03,slow_band_deficit_0_05,slow_band_deficit_0_1,step_final_value,step_peak_value,step_peak_time,step_overshoot,step_rise_time_10_90,step_settling_time_2pct
0.1,1.0,0.1,-0.1,0.1,40.0,0.8625953922324756,6.386810045318991,2.499999999793677,24.00300037504688,30.435054381797723,39.84873109138642,3.5853278007683446e-07,1.7165679986480602e-06,1.5456438454371584e-05,1.0000000238652096,1.7292296083514302,3.150393799224903,0.7292295670830042,1.106388298537317,38.367295911989
0.15,1.0,0.15,-0.15,0.15,26.666666666666668,0.8061384385457252,4.275237292674191,1.6666666663575136,15.001875234404299,21.021377672209024,27.303412926615824,8.007780414400312e-07,3.784893378457491e-06,3.2247553006257145e-05,1.00000000015039,1.6208493646760886,3.1691461432679082,0.6208493644323292,1.1626453306663334,25.85948243530441
0.2,1.0,0.2,-0.2,0.2,20.0,0.7561060243319287,3.2248580231391504,1.2499999995878042,11.870233779222401,15.133141642705336,20.983872984123014,1.4198817199680128e-06,6.68002918328979e-06,5.573796993924175e-05,1.0000000000000617,1.5266205792358964,3.206650831353919,0.5266205792358022,1.200150018752344,19.596199524940616
0.25,1.0,0.25,-0.24999999999999997,0.24999999999999997,16.0,0.7115107352035045,2.5992863046135675,0.9999999994847371,8.982372796599574,12.132766595824478,15.470683835479434,2.215804137366778e-06,1.0401456019459086e-05,8.591059049524265e-05,1.0000000000000013,1.4443441765439518,3.24415551943993,0.4443441765439498,1.25640705088136,14.10176272034004
0.3,1.0,0.3,-0.3,0.3,13.333333333333334,0.6715411998657694,2.186348043266823,0.8333333327150174,8.738592324040505,11.457682210276284,12.545318164770595,3.188494291663648e-06,1.4948506570698874e-05,0.00012274349416621202,1.0000000000000016,1.372316658177959,3.3004125515689458,0.3723166581779568,1.3126640830103762,11.213901737717213
0.35,1.0,0.35,-0.35,0.35,11.428571428571429,0.6355268362201066,1.8951200044870724,0.7142857135643511,6.132016502062758,9.169896237029628,12.264033004125515,4.3378898669329076e-06,2.032036595416362e-05,0.00016620998601571044,1.0000000000000029,1.3091882290618577,3.356669583697962,0.30918822906185395,1.3876734591823976,10.970121265158143
0.4,1.0,0.4,-0.4,0.4,10.0,0.6029102082203397,1.6803152064279856,0.6249999991755921,6.094511813976746,8.869858732341543,9.657457182147768,5.663917245175024e-06,2.6516072154754524e-05,0.0002162786540915597,1.0000000000000018,1.2538247734648333,3.4316789598699833,0.2538247734648311,1.4626828353544192,8.401050131266407
0.45,1.0,0.45,-0.45,0.45,8.88888888888889,0.5733116823733085,1.5167946386367455,0.5555555546280956,6.038254781847731,6.469558694836854,9.56369546193274,7.16649152034482e-06,3.353451653729953e-05,0.0002729134366796067,1.0,1.2053402164094846,3.52544068008501,0.20534021640948463,1.5564445555694462,8.34479309913739
0.5,1.0,0.5,-0.5,0.5,8.0,0.5462705792030326,1.3895567213358997,0.49999999896950437,5.906988373546693,6.48831103887986,9.28241030128766,8.84551651452322e-06,4.137444443603397e-05,0.0003360736991075865,0.9999999999999998,1.163027771941943,3.619202400300037,0.16302777194194332,1.6314539317414676,8.063507938492311
0.55,1.0,0.55,-0.55,0.55,7.2727272727272725,0.5215568786872317,1.2891523006454435,0.4545454534119175,5.681960245030629,6.469558694836854,7.01337667208401,1.0700884796226252e-05,5.003445582074609e-05,0.00040571431976914454,0.999999999999997,1.1263204711140147,3.7692211526440804,0.12632047111401806,1.7439679959994998,5.813226653331666
0.6,1.0,0.6,-0.6,0.6,6.666666666666667,0.4988361358763426,1.2093813576162218,0.4166666654300913,3.506688336042005,6.375796974621827,7.088386048256031,1.2732477700844237e-05,5.9513006038869814e-05,0.00048178578500152123,0.9999999999999971,1.0947773689704678,3.9192399049881232,0.09477736897047101,1.856482060257532,5.925740717589698
0.65,1.0,0.65,-0.65,0.65,6.153846153846153,0.4778926991343302,1.1460717459222138,0.38461538327577754,3.600450056257032,6.150768846105763,7.1258907363420425,1.4940165353203351e-05,6.98084066327284e-05,0.0005642342924164691,0.9999999999999996,1.06807416701869,4.125515689461182,0.06807416701869043,1.9877484685585696,6.00075009376172
0.7,1.0,0.7,-0.7,0.7,5.714285714285714,0.45855537497541893,1.0963813935164692,0.3571428557002154,3.7317164645580694,4.01300162520315,7.088386048256031,1.73238066922407e-05,8.091882623105252e-05,0.0006530018622528367,0.9999999999999929,1.045986554929799,4.406800850106263,0.045986554929806515,2.1377672209026124,5.963245405675709
0.707,1.0,0.707,-0.7069999999999999,0.7069999999999999,5.657708628005658,0.455973051945347,1.0903906981917797,0.35360678779328975,3.7504688086010747,4.0317539692461555,7.069633704213026,1.7671549055277356e-05,8.253921289156732e-05,0.000665930100465444,1.0,1.0432548365257694,4.444305538192274,0.04325483652576945,2.1565195649456177,5.944493061632704
0.75,1.0,0.75,-0.75,0.75,5.333333333333333,0.4406447350833076,1.0583793169410194,0.3333333317876691,3.8817352169021127,4.200525065633204,6.825853231653956,1.988324949778359e-05,9.284229151382063e-05,0.0007480264562911424,1.000000000000001,1.0283750423660978,4.7443430428803595,0.02837504236609664,2.2877859732466557,5.738217277159644
0.8,1.0,0.8,-0.8,0.8,5.0,0.42400584567461647,1.0307669728023736,0.31249999835131115,4.050506313289161,4.444305538192274,4.8193524190523815,2.2618330419422427e-05,0.00010557668824939364,0.0008492421038454593,1.0000000000000038,1.0151644931374582,5.231903987998499,0.015164493137454325,2.456557069633704,3.7504688086010747
0.85,1.0,0.85,-0.85,0.85,4.705882352941177,0.40851346833112057,1.0126251577680618,0.29411764530711404,4.219277409676209,4.725590698837355,5.231903987998499,2.5528875007466433e-05,0.00011911976240284311,0.0009565790343262208,0.9999999999999994,1.0062876030293955,5.963245405675709,0.00628760302939602,2.662832854106763,4.181772721590199
0.9,1.0,0.9,-0.9,0.9,4.444444444444445,0.3940571074063847,1.003022889626492,0.2777777759230571,4.425553194149268,5.044380547568446,5.719464933116639,2.861469774597002e-05,0.00013346912131429928,0.001069963815849157,1.0000000000000149,1.0015237244180741,7.200900112514064,0.0015237244180592352,2.8878609826228274,4.688086010751343
0.95,1.0,0.95,-0.95,0.95,4.2105263157894735,0.38053901830742715,1.0001119632450037,0.263157892779112,4.6505813226653325,5.381922740342542,6.263282910363795,3.187560208781728e-05,0.00014862223494607854,0.0011893194993505777,1.00000000000001,1.0000706247270776,10.070008751093885,7.062472706764674e-05,3.1128891111388923,5.250656332041505
1.0,1.0,1.0,-0.9999999933110325,0.9999999933110325,4.0,0.367872510579452,0.9999706963146388,0.24999999793926234,4.875609451181397,5.738217277159644,6.825853231653956,3.531138049185123e-05,0.00016457643719727956,0.0013145657676576301,0.9999999999999976,0.9999999999999976,37.11088886110763,0.0,3.356669583697962,5.831978997374671
